time,altitude,density,latitude,longitude,local_solar_time,T
2020-02-16 00:00:00,436585.89010370336,3.392699042075196e-14,30.913148054091145,32.53715297344313,1.9336068148997896,46.0
2020-02-16 00:00:30,436853.8136730632,2.804284566781564e-14,32.84771359797452,32.53513553075859,1.9418059433959272,46.000347222222224
2020-02-16 00:01:00,437144.42396509554,2.21841812630888e-14,34.78153565077434,32.53858013275617,1.95036920823091,46.00069444444444
2020-02-16 00:01:30,437455.4384697648,1.6490317749944214e-14,36.71457385894775,32.54816978219423,1.9593421429233402,46.001041666666666
2020-02-16 00:02:00,437784.4714084994,1.0936619449886306e-14,38.64678901823145,32.564683256361434,1.9687766659606822,46.00138888888889
2020-02-16 00:02:30,438129.08534379397,5.692465580329657e-15,40.57814251965876,32.589014180666446,1.9787323523717255,46.001736111111114
2020-02-16 00:03:00,438486.8393166978,7.762676128205359e-16,42.50859608119982,32.622194746615484,1.9892780149253646,46.00208333333333
2020-02-16 00:03:30,438855.28577737324,-3.738625374048219e-15,44.43811143095695,32.6654252489414,2.000493673272789,46.002430555555556
2020-02-16 00:04:00,439231.94608128536,-7.758294392211975e-15,46.36664951942921,32.72011140953484,2.012473042209315,46.00277777777778
2020-02-16 00:04:30,439614.3179380931,-1.1259270260015627e-14,48.29416917776535,32.7879119257322,2.0253267015606724,46.003125
2020-02-16 00:05:00,439999.8951471979,-1.4183028798609068e-14,50.22062567607472,32.87079961073441,2.0391861722102504,46.00347222222222
2020-02-16 00:05:30,440386.19206168316,-1.6511192843952017e-14,52.14596884751791,32.97114108476557,2.054209228843945,46.003819444444446
2020-02-16 00:06:00,440770.7524381159,-1.8217525804781968e-14,54.07014066560266,33.09180175499266,2.070586898611971,46.00416666666667
2020-02-16 00:06:30,441151.15303506795,-1.932147501885476e-14,55.99307198585624,33.23628609751515,2.0885528132604634,46.00451388888889
2020-02-16 00:07:00,441525.01874441747,-1.980944549751826e-14,57.914677898415604,33.40892781481312,2.108395886296357,46.00486111111111
2020-02-16 00:07:30,441890.0348817827,-1.970317142817103e-14,59.834851645149065,33.61515192272214,2.1304777854519834,46.005208333333336
2020-02-16 00:08:00,442243.95557356346,-1.9038806341762442e-14,61.75345592672953,33.86184246826742,2.155257447208349,46.00555555555555
2020-02-16 00:08:30,442584.61921755876,-1.78225111566157e-14,63.67031057248219,34.15786904155188,2.183326177588885,46.00590277777778
2020-02-16 00:09:00,442909.9529646337,-1.6133727018461296e-14,65.58517432775663,34.514857863047425,2.2154590579800555,46.00625
2020-02-16 00:09:30,443217.9852731591,-1.4006676630518954e-14,67.49771769118887,34.94835039163468,2.2526921856692965,46.006597222222226
2020-02-16 00:10:00,443506.86319684796,-1.1469551881296061e-14,69.40748065885427,35.4795961814491,2.296442197607977,46.00694444444444
2020-02-16 00:10:30,443774.8594977511,-8.597886694104992e-15,71.31380515766536,36.138422497298706,2.3486975782329154,46.00729166666667
2020-02-16 00:11:00,444020.3778953105,-5.482031086566812e-15,73.21572197457787,36.968011293467555,2.4123371245457506,46.00763888888889
2020-02-16 00:11:30,444241.9569175476,-2.1024891918291745e-15,75.11175249515351,38.033228181506054,2.491685210770502,46.00798611111111
2020-02-16 00:12:00,444438.2696723761,1.4088631189883204e-15,76.99954036518723,39.43596505136088,2.593534629759091,46.00833333333333
2020-02-16 00:12:30,444608.14010510873,5.098694641497325e-15,78.8751174796615,41.345338182721726,2.729159800471354,46.00868055555556
2020-02-16 00:13:00,444750.5375959296,8.870796387087915e-15,80.73130775482403,44.06209335455901,2.918610442063361,46.009027777777774
2020-02-16 00:13:30,444864.5952275181,1.2763649189868651e-14,82.55385141777585,48.16991986530503,3.2007991755133247,46.009375
2020-02-16 00:14:00,444949.6128965467,1.6695095811319305e-14,84.31059034577774,54.93190754420612,3.659931991780816,46.00972222222222
2020-02-16 00:14:30,445005.0639307201,2.0750440280966515e-14,85.91599465725355,67.40965673225975,4.500115585945558,46.01006944444445
2020-02-16 00:15:00,445030.59404188395,2.4903634091152425e-14,87.10643608913638,92.65580237275611,6.191525633977613,46.010416666666664
2020-02-16 00:15:30,445026.02774855215,2.9082413744884505e-14,87.27063904328168,132.38529148277138,8.84849194019637,46.01076388888889
2020-02-16 00:16:00,444991.35928490944,3.3373640850983596e-14,86.27050252237105,162.0847916325104,10.836792297139652,46.01111111111111
2020-02-16 00:16:30,444926.75314528495,3.777785392552266e-14,84.73192163097974,176.90783045148055,11.833328537783379,46.01145833333333
2020-02-16 00:17:00,444832.54747809004,4.230300024188197e-14,83.00132968793862,-175.30212866083437,12.360997568783137,46.011805555555554
2020-02-16 00:17:30,444709.25051372126,4.703459394325877e-14,81.19105038253561,-170.69109243184442,12.676733617849969,46.01215277777778
2020-02-16 00:18:00,444557.53732915316,5.2006591667492376e-14,79.3414709709402,-167.69786514111823,12.884615734714526,46.0125
2020-02-16 00:18:30,444378.24746332783,5.71899889425752e-14,77.46983580119766,-165.62219073383147,13.031327657664399,46.01284722222222
2020-02-16 00:19:00,444172.37831344083,6.259193730391598e-14,75.58458153517175,-164.11225539473463,13.140323641702025,46.013194444444444
2020-02-16 00:19:30,443941.0834428258,6.826847692884435e-14,73.69027596779276,-162.97413457744062,13.224531990279864,46.01354166666667
2020-02-16 00:20:00,443685.6674000779,7.419173958922235e-14,71.78958825386358,-162.09281968133584,13.291619943651956,46.013888888888886
2020-02-16 00:20:30,443407.57507416885,8.033041720442918e-14,69.8841723762265,-161.39601733689847,13.346407059920647,46.01423611111111
