time,density_pod,density_orbitmean_pod,validity_flag_pod,altitude_pod,latitude_pod,longitude_pod,local_solar_time_pod,density_acc,altitude_acc,latitude_acc,longitude_acc,local_solar_time_acc
2020-02-16 21:33:00+00:00,5.055318133822482e-14,1.1868109860556987e-13,0.0,442225.38961482793,-19.825879274205512,65.48211644167657,1.684936183293928,5.624979749364551e-14,441997.6675093399,-19.181016525723205,65.47363641507576,1.687148743760405
2020-02-16 21:34:00+00:00,5.408301217677805e-14,1.1923237923845838e-13,0.0,440901.393685807,-15.955652785390951,65.42811368290145,1.698003372774334,5.468531944699382e-14,440693.7774283136,-15.310320188197094,65.41827446522748,1.7001253205118332
2020-02-16 21:35:00+00:00,5.728366110172915e-14,1.1981755071210152e-13,0.0,439703.4603910432,-12.082758642468491,65.36674745083779,1.7105796640920747,5.0907371903726766e-14,439518.3667875471,-11.437027163782886,65.35590420482838,1.7126346766170688
2020-02-16 21:36:00+00:00,5.992825830587828e-14,1.2043257804770925e-13,0.0,438645.1743706614,-8.207632897096543,65.30005585234929,1.7228009310419274,4.7870880953925015e-14,438484.587833692,-7.5615780355209745,65.28852412206383,1.7248100446155636
2020-02-16 21:37:00+00:00,6.198564029840888e-14,1.2107227943895647e-13,0.0,437737.43994084606,-4.330736667698112,65.22986992613389,1.7347892428735463,5.339198029446143e-14,437602.8741841602,-3.6844374473517507,65.21793918783779,1.7367717559241012
2020-02-16 21:38:00+00:00,6.340995915618988e-14,1.2173307352615124e-13,0.0,436988.2669193624,-0.4525498900311373,65.15788978840814,1.7466579406713407,4.505581304683816e-14,436880.7357296085,0.19391224201639792,65.14583485080423,1.7486321737794697
2020-02-16 21:39:00+00:00,6.41149117410132e-14,1.2241233911155535e-13,0.0,436402.62526412075,3.4264354495164833,65.08574995889927,1.7585159924199907,4.326531397161314e-14,436322.6288648937,4.072977764891586,65.0738411488207,1.760499967370001
2020-02-16 21:40:00+00:00,6.40788840765096e-14,1.2310834073839359e-13,0.0,435982.4067961103,7.305722199805012,65.01507952858785,1.770472004187713,4.236135885029588e-14,435929.9360889515,7.952261890360343,65.00359262208595,1.772484106050305
2020-02-16 21:41:00+00:00,6.336430243216384e-14,1.2381893069675058e-13,0.0,435726.4692233023,11.18481554100728,64.94756232920064,1.7826382314261888,5.186610129059431e-14,435701.0125932366,11.83127099188983,64.93678890961316,1.7846978990960245
2020-02-16 21:42:00+00:00,6.201958568033209e-14,1.245396652067284e-13,0.0,435630.66102992557,15.063230310776206,64.88500136702646,1.7951348745579523,5.854138362954371e-14,435631.2120663482,15.709522220734518,64.87526040799457,1.7972633729450234
2020-02-16 21:43:00+00:00,6.018689110817472e-14,1.2526259892377703e-13,0.0,435687.9233496217,18.94049739511515,64.8293926403536,1.8080950001239735,4.056972861047356e-14,435713.0126583092,19.586549758660553,64.8210443523927,1.8103163432733982
2020-02-16 21:44:00+00:00,5.805696681685761e-14,1.2597696631567259e-13,0.0,435888.4993744558,22.816169386605957,64.78301536457761,1.821670555836633,3.507213358574062e-14,435936.23303238506,23.46191034650288,64.77647865790964,1.824012671097283
2020-02-16 21:45:00+00:00,5.580501008792109e-14,1.2666874073005616e-13,0.0,436220.1728847129,26.68982529627513,64.7485474793423,1.8360400710256428,2.1275405365046696e-14,436288.27046195726,27.335187759922434,64.74432290152629,1.8385363282255778
2020-02-16 21:46:00+00:00,5.358826954917739e-14,1.2732355122163695e-13,0.0,436668.50663899304,30.561073229504622,64.72922004644539,1.8514189498014026,3.843239605587952e-14,436754.3563610556,31.20599502129842,64.7279212582647,1.8541102596607673
2020-02-16 21:47:00+00:00,5.155799213711584e-14,1.2792834518109962e-13,0.0,437217.24789725523,34.42955048474257,64.72903175478935,1.8680737714317033,2.918151906536917e-14,437317.9863871674,35.07397409957061,64.7314299474567,1.8710115466893036
2020-02-16 21:48:00+00:00,4.97569672171004e-14,1.2847314624067572e-13,0.0,437848.82241688296,38.29492120777941,64.7530541005842,1.886342635673019,2.7560909166385446e-14,437961.4174618923,38.938793233289886,64.76014226142888,1.889593075496067
2020-02-16 21:49:00+00:00,4.817789482525286e-14,1.2895046861784572e-13,0.0,438544.6876298287,42.156871756445,64.8078791728397,1.9066650151383318,3.3009885746030666e-14,438665.9424153276,42.80014137323536,64.82096839196988,1.9103155255364772
2020-02-16 21:50:00+00:00,4.684478244593887e-14,1.2935736369929007e-13,0.0,439285.36441730754,46.01509726276326,64.90229934415994,1.929627068017444,4.0855397730867636e-14,439411.9642914731,46.657712751561455,64.92316796596121,1.933796205286317
2020-02-16 21:51:00+00:00,4.573619905917898e-14,1.296952716917349e-13,0.0,440050.84118464636,49.86927682096884,65.04837463556483,1.9560327957340549,4.188447080966286e-14,440179.42956725525,50.51118004118947,65.07950775932221,1.9608862331538262
2020-02-16 21:52:00+00:00,4.480739146871989e-14,1.2996999727715632e-13,0.0,440821.01340335654,53.71903271886937,65.26317397675413,1.9870201269662608,6.350414396357695e-14,440948.2681539229,54.36014956850121,65.30816435160499,1.9927973811628572
2020-02-16 21:53:00+00:00,4.412678484074954e-14,1.3019129428089588e-13,0.0,441576.1651590928,57.563860019129166,65.57174767429797,2.024259082198707,6.096476677906377e-14,441698.87893714727,58.204083829582125,65.63600161508519,2.031320574171639
2020-02-16 21:54:00+00:00,4.375742388081707e-14,1.3037301258834354e-13,0.0,442297.4102259991,61.40300057325567,66.01248523882384,2.070308962210831,4.910972152932852e-14,442412.5511298515,62.0421610485767,66.10454277006299,2.0792240269436904
2020-02-16 21:55:00+00:00,4.3742225834366796e-14,1.305298315477506e-13,0.0,442967.0187786273,65.23520028879179,66.64743110370468,2.129306062645974,6.080696906202993e-14,443071.7801025154,65.87300090450562,66.78162606185163,2.1410302892824142
2020-02-16 21:56:00+00:00,4.4289478124522614e-14,1.3067785848302973e-13,0.0,443568.7348198779,69.05820122270669,67.58386515673104,2.2084023762825566,7.137933987762806e-14,443660.59283734066,69.69408043108216,67.786221579396,2.224670700691463
2020-02-16 21:57:00+00:00,4.527646227902783e-14,1.3083194261519657e-13,0.0,444088.115864174,72.86755642086023,69.02459718151835,2.321118555707786,8.329616571660059e-14,444164.87559609953,73.50033729331129,69.34765631711349,2.345433727880803
2020-02-16 21:58:00+00:00,4.6946999457692435e-14,1.3100400161623517e-13,0.0,444512.74960789504,76.65340934496044,71.40365796133952,2.4963899872781194,7.681816786743219e-14,444572.57329440286,77.280237412545,71.97088535835059,2.5369830440049825
2020-02-16 21:59:00+00:00,4.9407994979212426e-14,1.3120084901994564e-13,0.0,444832.4413545886,80.38957220654126,75.83793457626177,2.8086758117369346,7.628076289638269e-14,444873.8800906733,81.0016782869987,77.01564840714154,2.889967965194085
2020-02-16 22:00:00+00:00,5.275774996957152e-14,1.3142564943158507e-13,0.0,445039.3833878576,83.98075054133247,86.19189401879039,3.515607169086991,7.95321695641513e-14,445061.4060232253,84.53690622435734,89.55609429138116,3.7426650893926223
2020-02-16 22:01:00+00:00,5.714576879668588e-14,1.3167763104886672e-13,0.0,445128.3741122084,86.82926480483766,121.22997632721703,5.868146763359006,7.979928131862061e-14,445130.4106898331,87.02649489619608,132.5072647097335,6.622743905684531
2020-02-16 22:02:00+00:00,6.265451714647532e-14,1.319521256804864e-13,0.0,445097.0037121414,86.43228270420138,8.066720343828024,10.340596863306647,8.639786136069344e-14,445078.9479138972,85.98750465074386,-105.00827354908314,10.805041623243921
2020-02-16 22:03:00+00:00,6.953007803727567e-14,1.3223993376689695e-13,0.0,444945.6301458138,83.31419891831325,-144.68505541566,12.173812238139615,9.539220824632288e-14,444907.8378923486,82.72105244309522,-142.7382477398293,12.30637731605607
2020-02-16 22:04:00+00:00,7.792411978235088e-14,1.325310657076847e-13,0.0,444677.40559473354,79.67869953514207,-136.10890564118023,12.762222947929764,1.0396753635602743e-13,444620.69906039926,79.05775124935705,-135.29641545550797,12.819166857742642
2020-02-16 22:05:00+00:00,8.789117983140675e-14,1.3281444306312158e-13,0.0,444298.22557072435,75.92914248815242,-132.22529440284103,13.03779774667342,1.0507441543621006e-13,444223.8613952619,75.2989362312842,-131.79648333550793,13.069163047896703
2020-02-16 22:06:00+00:00,9.938392524527715e-14,1.3307816345898175e-13,0.0,443816.50922009256,72.13735142712032,-130.08046687953453,13.197453627894308,1.1211009656957912e-13,443726.1437978757,71.50286786740598,-129.82347931837208,13.217364028418965
2020-02-16 22:07:00+00:00,1.120617746124016e-13,1.3331013001069857e-13,0.0,443243.00525805075,68.32463147358075,-128.75993793629783,13.302156269013345,1.4565124382258255e-13,443138.66372728784,67.6877113093872,-128.59400446376227,13.315996396805282
2020-02-16 22:08:00+00:00,1.2562618030099327e-13,1.334996470377969e-13,0.0,442590.6162931835,64.49934665734618,-127.89309561917321,13.376613134284806,1.3814252495442704e-13,442474.66268274497,63.86080915726376,-127.78102934903205,13.38686211516197
2020-02-16 22:09:00+00:00,1.3980320593688894e-13,1.336375910489472e-13,0.0,441874.2105538137,60.66537158407228,-127.30194656622452,13.432690448168099,1.4994870142061446e-13,441749.3189768234,60.0256284327296,-127.22430209422451,13.440644642445044
2020-02-16 22:10:00+00:00,1.5416424341227438e-13,1.3371832447408633e-13,0.0,441110.44693117356,56.82471172531648,-126.89050046339801,13.476787565111662,1.5408442280807128e-13,440979.5623698405,56.18398940725981,-126.83613408787203,13.48318988625344
2020-02-16 22:11:00+00:00,1.684072647593659e-13,1.3373949297474994e-13,0.0,440317.4730413412,52.978499814008984,-126.6024369994858,13.512659172633413,1.626463125761599e-13,440183.74892359535,52.33693373105857,-126.56450476915818,13.517965884076252
2020-02-16 22:12:00+00:00,1.8235375356121928e-13,1.3369987621830422e-13,0.0,439514.55567409005,49.1274331385558,-126.40251655431231,13.542654578810811,1.854928832011474e-13,439381.29046717676,48.4851122264545,-126.37658031824985,13.547161557291695
2020-02-16 22:13:00+00:00,1.958992902306402e-13,1.3360158363159577e-13,0.0,438721.6881852462,45.271986721398434,-126.26753739196141,13.568320566080885,1.8312209394601747e-13,438592.25753824617,44.62897643484052,-126.25058925147049,13.572228338180027
2020-02-16 22:14:00+00:00,2.0886880626181198e-13,1.3345238803483423e-13,0.0,437959.1577753965,41.41252566653989,-126.1815729902311,13.590718902620154,1.9989425230978576e-13,437836.9392509782,40.76888076622229,-126.17149764070355,13.594168488648664
2020-02-16 22:15:00+00:00,2.2120615926471763e-13,1.332616424659232e-13,0.0,437247.14874304505,37.549368513283476,-126.13329929949369,13.610604525091372,1.9722891215055871e-13,437135.47008521017,36.905140282573335,-126.12856112638305,13.613698299360154
2020-02-16 22:16:00+00:00,2.328395037456571e-13,1.3303840639697904e-13,0.0,436605.3897968214,33.68282301785783,-126.1144150069681,13.628530854361955,2.1978432600521382e-13,436507.45019868546,33.03806346020537,-126.11386728673894,13.631345265108903
2020-02-16 22:17:00+00:00,2.433722877003348e-13,1.3279033966383693e-13,0.0,436052.6759857908,29.813207342043857,-126.11866527071923,13.644914879890806,2.5179758255751437e-13,435971.47913799173,29.167971710677524,-126.1214291437524,13.647508517768728
2020-02-16 22:18:00+00:00,2.529637536275211e-13,1.3252406603876943e-13,0.0,435606.5206100601,25.94086251973648,-126.14121524043921,13.660078925055597,2.655061802091489e-13,435544.8229557066,25.295210619501443,-126.14660023769835,13.662497821335021
2020-02-16 22:19:00+00:00,2.6170282631176174e-13,1.3224637169096064e-13,0.0,435282.8246183195,22.0661581853648,-126.1782345629149,13.674278346759497,2.8296862996981474e-13,435243.07526679523,21.42015485647927,-126.18568484376885,13.676559557473409
2020-02-16 22:20:00+00:00,2.694716059683899e-13,1.3196340470948773e-13,0.0,435095.52577223256,18.189494347689163,-126.22661319771674,13.687720481021802,3.0483533942844137e-13,435079.8144510593,17.543209438486084,-126.23566997898824,13.689894591716163
2020-02-16 22:21:00+00:00,2.7626936728135196e-13,1.3167929425861379e-13,0.0,435056.3018866307,14.311300255659297,-126.28376096572345,13.70057800645525,3.2344735343087673e-13,435066.31155925075,13.6648081731654,-126.2940354984405,13.702670933718885
2020-02-16 22:22:00+00:00,2.821841627516699e-13,1.3139776844236005e-13,0.0,435174.29583657905,10.432031088017553,-126.34746170854729,13.71299866695643,3.296053434682232e-13,435211.26090967486,9.785410091810968,-126.35861515026575,13.715033000296382
2020-02-16 22:23:00+00:00,2.873863045632572e-13,1.311215227717463e-13,0.0,435455.88303873874,6.552163221225722,-126.41576318768767,13.725112611762455,3.1991495518320296e-13,435520.55653761124,5.90549451491379,-126.42749100623996,13.727108653323628
2020-02-16 22:24:00+00:00,2.919176606770069e-13,1.3085088771067562e-13,0.0,435904.51653053006,2.6721885178643268,-126.48689057455894,13.737038162782117,3.011147608558737e-13,435997.1587932177,2.025555190057528,-126.49890990876484,13.739014769972114
2020-02-16 22:25:00+00:00,2.959380749116986e-13,1.3058526809752393e-13,0.0,436520.67842643615,-1.2073924605234412,-126.55917488923757,13.74888658534671,3.07085468705749e-13,436641.0498216601,-1.8539066621229499,-126.57121366033586,13.750861896750108
2020-02-16 22:26:00+00:00,2.993996071198929e-13,1.3032304139925002e-13,0.0,437301.8451646981,-5.08607800035443,-126.6309899049458,13.760766294577891,3.026455266806823e-13,437449.20526058663,-5.732389949067927,-126.64277678712021,13.762758398587886
2020-02-16 22:27:00+00:00,3.0221771046175497e-13,1.3006042520514644e-13,0.0,438242.49841384543,-8.963372819527171,-126.70069247215221,13.772786833780597,2.980529314364913e-13,438415.6126041667,-9.609401269637553,-126.71194693919358,13.774814432145071
2020-02-16 22:28:00+00:00,3.040063335213972e-13,1.2979114747878318e-13,0.0,439334.17687261384,-12.838795537595187,-126.7665616702362,13.785062930984294,2.8091271210994684e-13,439531.32907385036,-13.484462292483196,-126.77698333491118,13.787146049529392
2020-02-16 22:29:00+00:00,3.0447722808357397e-13,1.295061571513126e-13,0.0,440565.58599267155,-16.711885400802025,-126.82673181632927,13.79771896506558,2.7071564806581766e-13,440784.6063974076,-17.357116372772015,-126.83598815452562,13.799879772065957
2020-02-16 22:30:00+00:00,3.032736164243438e-13,1.291937731276686e-13,0.0,441922.78965455067,-20.5822084054591,-126.87911355551267,13.810894226370888,2.836678545907391e-13,442161.09303486656,-21.226934540421592,-126.88682494537532,13.813158029941
2020-02-16 22:31:00+00:00,3.000206653215444e-13,1.288422745504725e-13,0.0,443389.433301338,-24.449362413907046,-126.92129566913735,13.824749462799911,2.818300662282561e-13,443644.05460518535,-25.093520396043505,-126.92701614062933,13.82714599427632
2020-02-16 22:32:00+00:00,2.9464523674050627e-13,1.2844049540641238e-13,0.0,444946.99127771193,-28.312980647013063,-126.95041689970284,13.839475424857675,2.7953976913888783e-13,445214.6383283011,-28.95651326574823,-126.95360845415344,13.84204055080938
2020-02-16 22:33:00+00:00,2.8735436477312017e-13,1.2797992181799454e-13,0.0,446575.090120404,-32.17273324193772,-126.96299251476094,13.855304428047376,,446852.19580033404,-32.81558941691364,-126.96298965272906,13.85808251511505
2020-02-16 22:34:00+00:00,2.7836162732833345e-13,1.274556166682268e-13,0.0,448251.8321992848,-36.028326162029046,-126.95467199088677,13.872526507271818,2.6934263026197446e-13,448534.6152903947,-36.670460367946,-126.95063117418793,13.875573791336008
2020-02-16 22:35:00+00:00,2.680330815562108e-13,1.2686743627863345e-13,0.0,449954.18933947803,-39.87949640545244,-126.91988962619196,13.891512709334116,2.6555333584241267e-13,450238.7253985542,-40.520867444703526,-126.9107150970646,13.894902240914211
2020-02-16 22:36:00+00:00,2.5678208882378204e-13,1.262203421837683e-13,0.0,451658.4084053794,-43.72600258404064,-126.85134557926891,13.91274969034124,2.664322407267934e-13,451940.691791963,-44.36657128333661,-126.83557707980579,13.916578819957143
2020-02-16 22:37:00+00:00,2.4498164865809714e-13,1.2552382456916375e-13,0.0,453340.38879356533,-47.56760775446783,-126.73921004081879,13.936892770931745,2.308165321560085e-13,453616.39792374644,-48.20733295388974,-126.71484689599713,13.941294876931982
2020-02-16 22:38:00+00:00,2.3292128860158033e-13,1.2479164105266576e-13,0.0,454976.0891743852,-51.40405005651696,-126.56985790174033,13.9648502917373,2.397027879476786e-13,455241.85824481567,-52.04288186520514,-126.53407270519148,13.970013867885037
2020-02-16 22:39:00+00:00,2.2083004345359068e-13,1.24041324288098e-13,0.0,456541.9509391044,-55.234993154257324,-126.32377335286563,13.997923306738654,2.1869812375179685e-13,456793.6387117088,-55.87286135789486,-126.27242453526952,14.004124457662977
2020-02-16 22:40:00+00:00,2.087827088504978e-13,1.2329129115001794e-13,0.0,458015.3201664798,-59.05993972861121,-125.97190863617999,14.038048333160631,2.2308780133812474e-13,458249.2822545196,-59.696733081189016,-125.8986654278156,14.045709110208024
2020-02-16 22:41:00+00:00,1.9682604807750848e-13,1.2256104995556503e-13,0.0,459374.8622724968,-62.878073204699845,-125.46898037474264,14.088244262943435,1.9147397894965408e-13,459587.70953627414,-63.51359996581292,-125.36364670117628,14.098044404408363
2020-02-16 22:42:00+00:00,1.8501793857807632e-13,1.2186945165208744e-13,0.0,460600.86450691475,-66.68794585313975,-124.74021667362845,14.153495889190644,1.8422342388280398e-13,460789.50286740856,-67.32185184475208,-124.58525040140573,14.166604870669216
2020-02-16 22:43:00+00:00,1.7347143884205156e-13,1.2123390606186598e-13,0.0,461675.47885127086,-70.48680327611416,-123.65267523328305,14.242666032119143,1.7463607125053643e-13,461837.15623985464,-71.11838271303463,-123.41516302175914,14.261278076377048
2020-02-16 22:44:00+00:00,1.6230643381675328e-13,1.2067131356531485e-13,0.0,462583.00961532956,-74.26893270227109,-121.94530942085512,14.37315780106994,1.551519291607438e-13,462715.3577206647,-74.8966233244149,-121.55567842109424,14.401911098165328
2020-02-16 22:45:00+00:00,1.5146950797174265e-13,1.2019420169705545e-13,0.0,463310.1448875181,-78.02086736858801,-119.02796209464631,14.584315006584456,1.4615652148343122e-13,463411.2234466604,-78.64059100032652,-118.31113852845532,14.634881142059958
2020-02-16 22:46:00+00:00,1.410164621483394e-13,1.1981329323719674e-13,0.0,463846.2603054098,-81.70338114595111,-113.24623071210263,14.986431154568677,1.420063839891539e-13,463914.60195643705,-82.30100877010533,-111.62255131624426,15.097454347048847
2020-02-16 22:47:00+00:00,1.3093544907615928e-13,1.1953765954859199e-13,0.0,464183.5844891728,-85.14824853809242,-98.04158583048036,16.01674155337267,1.225139081729655e-13,464218.20011882094,-85.64198216892923,-92.66750155034684,16.377791745096612
2020-02-16 22:48:00+00:00,1.2129639567522028e-13,1.1937446031807395e-13,0.0,464317.26019885344,-87.19008614890069,-46.58572197214569,19.463799951276528,1.0684094577497234e-13,464317.66395778564,-87.12831555560281,-34.56489275810477,20.267966484269557
2020-02-16 22:49:00+00:00,1.1163401774067524e-13,1.1932774065278817e-13,0.0,464245.47373258974,-85.500354609814,9.971911495313154,23.250976332653288,7.988272343164563e-14,464211.68358790036,-84.97380815362985,14.263826089264292,19.539881876646405
2020-02-16 22:50:00+00:00,1.0201807898786826e-13,1.19398646975985e-13,0.0,463969.3956285594,-82.11578519061915,27.41856174481655,0.43075376034237856,6.691147587293953e-14,463901.92077543866,-81.51244109150393,28.80974876451054,0.5262774606814092
2020-02-16 22:51:00+00:00,9.252625235175311e-14,1.195849850470767e-13,0.0,463493.16225103755,-78.44699391003915,33.761610159310635,0.8702910451349855,6.923596340042189e-14,463393.0128616863,-77.82547571575232,34.403411612818736,0.9158557063692463
2020-02-16 22:52:00+00:00,8.300197119448928e-14,1.198824835521294e-13,0.0,462823.910213802,-74.70027083144599,36.88752380868949,1.095352673048371,6.34145684645839e-14,462692.5875615689,-74.0717934866374,37.24463655628112,1.1219380867045334
2020-02-16 22:53:00+00:00,7.342537206366237e-14,1.2028438854005972e-13,0.0,461971.6800707439,-70.92083643121575,38.69351768501392,1.232419647042768,7.011945621405236e-14,461811.1591058308,-70.28883320845495,38.914187964129475,1.2499088958918005
2020-02-16 22:54:00+00:00,6.381329257244985e-14,1.2078370039229483e-13,0.0,460949.3049072302,-67.12371458223623,39.835162958614106,1.3251967130230682,7.581060282921963e-14,460762.0035213884,-66.48954486272038,39.980331031613694,1.337652481330366
2020-02-16 22:55:00+00:00,5.4430004814561925e-14,1.2137039366864024e-13,0.0,459772.1516590365,-63.31515919409874,40.59670451268932,1.39263353039631,7.371611937043618e-14,459560.87163774454,-62.67944957442325,40.69585576699916,1.4020215107117362
2020-02-16 22:56:00+00:00,4.550041481101595e-14,1.2203220580756942e-13,0.0,458457.76738407137,-59.49814880966652,41.12094384401317,1.4442501992126715,6.372721596511377e-14,458225.6405408207,-58.86121793263576,41.19004689847983,1.451634966160509
2020-02-16 22:57:00+00:00,3.738577640037035e-14,1.2275579676836466e-13,0.0,457025.58280536626,-55.67423448509308,41.48741045579547,1.4853486864999361,3.858557298777631e-14,456776.02421748155,-55.036256600494205,41.5358588225973,1.4913564742428882
2020-02-16 22:58:00+00:00,3.0421389797441926e-14,1.2352783580367632e-13,0.0,455496.61272281036,-51.84428302496076,41.743909733294515,1.5191160180308234,2.0855612519447567e-14,455233.27277638327,-51.205360370205604,41.777590755893904,1.5241393161390178
2020-02-16 22:59:00+00:00,2.4854415415417008e-14,1.2433343427308662e-13,0.0,453893.2129746466,-48.0088167935896,41.920925992851835,1.547584481618122,-7.900484787008135e-15,453619.9368419894,-47.36901489320578,41.94372022628512,1.551881993767698
2020-02-16 23:00:00+00:00,2.0680614505690827e-14,1.251588481091628e-13,0.0,452238.73062585713,-44.16818352889557,42.038840949281514,1.572112858286948,2.0775287215299357e-15,451959.47242729133,-43.527549935636834,42.053414251016534,1.5758623083191114
2020-02-16 23:01:00+00:00,1.8006738492751738e-14,1.2599136986737847e-13,0.0,450557.0175994262,-40.322649065075694,42.11182642107454,1.5936459359630284,1.1202552861233619e-14,450275.7806449565,-39.68122404056183,42.120075307415014,1.5969737583015757
2020-02-16 23:02:00+00:00,1.6752737850027707e-14,1.268201583491719e-13,0.0,448872.11086715525,-36.472450182817525,42.15007088132931,1.6128629461902353,-8.954871834291393e-15,448592.8912819365,-35.83027277405471,42.15338616181369,1.6158618614836626
2020-02-16 23:03:00+00:00,1.685948628942555e-14,1.2763385748944317e-13,0.0,447207.83893399686,-32.61782507008734,42.16111661195882,1.6302667077916286,2.777692860404896e-15,446934.54691259237,-31.974936727293507,42.16054638088601,1.6330065889951388
2020-02-16 23:04:00+00:00,1.811994966326047e-14,1.2842314726440004e-13,0.0,445587.3589334246,-28.75903159331525,42.150697181469724,1.6462394586932785,2.801932651845826e-15,445323.7514454851,-28.115478319289664,42.1470515246376,1.6487743115182425
2020-02-16 23:05:00+00:00,2.029954769490444e-14,1.2917563418044601e-13,0.0,444032.76372714294,-24.89635758040953,42.12328162684544,1.661079134687558,1.2754208157803081e-14,443782.37310890964,-24.25219100420986,42.117202205984256,1.6634517365837531
2020-02-16 23:06:00+00:00,2.3184330951521776e-14,1.2987726949940028e-13,0.0,442564.64204628253,-21.03012603618281,42.082439728626824,1.6750237211502395,1.807031491797838e-14,442330.71364614554,-20.385403945536417,42.07444740358031,1.6772687960982264
2020-02-16 23:07:00+00:00,2.6467660695606658e-14,1.3051470951187795e-13,0.0,441201.7889658408,-17.160697047721584,42.03109420563253,1.6882680660080762,3.5861831514401514e-14,440987.24423728016,-16.515483296152713,42.02162248900561,1.690414514858969
2020-02-16 23:08:00+00:00,2.9849558902707504e-14,1.3107602641481535e-13,0.0,439960.9311029953,-13.288465920471396,41.971699913327086,1.7009758262964034,3.2347018138354265e-14,439768.3087396791,-12.642829858934698,41.9611193588374,1.703048352632118
2020-02-16 23:09:00+00:00,3.307887283746279e-14,1.3155185698169804e-13,0.0,438856.3768008482,-9.413859610824282,41.90637625289993,1.7132882954319282,2.1771746816832016e-14,438687.78239099466,-8.767875435450762,41.895012942599685,1.7153086380515272
2020-02-16 23:10:00+00:00,3.5862717815360473e-14,1.3193351591462528e-13,0.0,437899.7788172108,-5.537332218060198,41.837008615408806,1.7253311661553177,1.444372540104525e-14,437756.8568323869,-4.8910780032037975,41.825158612811066,1.7273190626268076
2020-02-16 23:11:00+00:00,3.800725464710997e-14,1.3221410506870303e-13,0.0,437099.9375789757,-1.6593587411137225,41.76532911640325,1.7372199128396666,2.7199260274137273e-15,436983.83368605375,-1.0129153531654624,41.75327045942844,1.7391938990300009
2020-02-16 23:12:00+00:00,3.938605209439068e-14,1.3238869077756172e-13,0.0,436462.61840602895,2.21957141204983,41.692985112953835,1.7490643592925643,1.1314489641705365e-14,436373.9667119072,2.8661214173266067,41.68098838993489,1.751042474424472
2020-02-16 23:13:00+00:00,3.9792065918853704e-14,1.3245560240766519e-13,0.0,435990.5157179297,6.098961342210444,41.62160078700917,1.7609727842988434,2.4248827447838536e-14,435929.4394618397,6.7455349617221385,41.609938987457575,1.7629732276835774
2020-02-16 23:14:00+00:00,3.903340219410486e-14,1.3241570980121607e-13,0.0,435683.2637905348,9.978314115749491,41.55283621811796,1.773055859846263,9.277687722654688e-15,435649.3771235943,10.624829076781907,41.54179481925072,1.7750976632988749
2020-02-16 23:15:00+00:00,3.6965242614150894e-14,1.3227594007912347e-13,0.0,435537.4946383685,13.857139555568516,41.4884497842547,1.7854308111515973,8.667504092933317e-15,435529.9345926146,14.503515456559944,41.4783378156126,1.7875345766320005
2020-02-16 23:16:00+00:00,3.333957389977391e-14,1.320453075070644e-13,0.0,435547.0382731827,17.734961390330724,41.43036813787714,1.7982260817005233,4.87576388529808e-15,435564.4870301366,18.38112090145842,41.42153115546798,1.8004148462764349
2020-02-16 23:17:00+00:00,2.82522255629473e-14,1.3173517759135753e-13,0.0,435703.03586491523,21.611324018225133,41.38077022633576,1.8115869346536009,9.491339654584911e-15,435743.74227729597,22.25719383397795,41.373606466586416,1.813887247410986
2020-02-16 23:18:00+00:00,2.189243399798198e-14,1.313597794959238e-13,0.0,435994.10702678654,25.48579744756688,41.34219395811038,1.8256825639144,1.3982865161239592e-14,436055.9286334988,26.13130891109105,41.33717541569669,1.828125891175749
2020-02-16 23:19:00+00:00,1.455606389596184e-14,1.30934442088141e-13,0.0,436406.6461802656,29.35798049434702,41.31767722160376,1.8407154953818858,4.0069988460201416e-15,436487.10496830865,30.003069988321467,41.31537809173473,1.8433401168289372
2020-02-16 23:20:00+00:00,6.691539614409284e-15,1.3047374984971533e-13,0.0,436925.12947093975,33.22750265084432,41.31095066391417,1.8569344388695228,9.495247094096748e-15,437021.4494522119,33.87211166260119,41.31208705216475,1.8597880948753207
2020-02-16 23:21:00+00:00,-1.2208901218830342e-15,1.2999040109268707e-13,0.0,437532.2968678116,37.09402277523982,41.32671026979285,1.8746524600362555,3.661401790722729e-15,437641.43496233085,37.738097083195925,41.33219737223372,1.8777961636637397
2020-02-16 23:22:00+00:00,-8.713526989870402e-15,1.2949553109459905e-13,0.0,438209.4573692153,40.957221974116734,41.371013619835395,1.8942733975995105,1.50667365599779e-15,438328.20133379893,41.60070988467211,41.38205025018059,1.8977870697752515
2020-02-16 23:23:00+00:00,-1.5328266199204588e-14,1.2899737148696834e-13,0.0,438937.2001445964,44.81679201271072,41.45187416722991,1.9163314817867452,5.211553665132158e-15,439062.2880226313,45.459642143890484,41.47007241801972,1.9203225953497463
2020-02-16 23:24:00+00:00,-2.0646945215836925e-14,1.28501432508489e-13,0.0,439695.867524107,48.67241881503278,41.580184906249315,1.9415529122363946,-2.775550627279925e-15,439823.9943364919,49.31457579021372,41.607775927901,1.9461702105519294
2020-02-16 23:25:00+00:00,-2.427624177599505e-14,1.2801112804741922e-13,0.0,440465.5702812597,52.52374845718465,41.77120737025428,1.9709551245038064,2.128839698603339e-15,440593.42037993966,53.165144615510684,41.811381449247136,1.9764112933632276
