time,density,density_orbitmean,validity_flag,altitude,latitude,longitude,local_solar_time
2020-04-08 06:19:30+00:00,1.4581787898674856e-13,1.6474227872657126e-13,0.0,458016.1806611223,-60.18226797964669,50.11191875948233,9.635353368382399
2020-04-08 06:20:00+00:00,1.4636283316859746e-13,1.6453349847136153e-13,0.0,458671.00465722755,-62.09141489322141,50.365363166926564,9.660584597200241
2020-04-08 06:20:30+00:00,1.4695692894443368e-13,1.6433995465207612e-13,0.0,459293.3899173429,-63.99862556748253,50.669502258614486,9.689195471719248
2020-04-08 06:21:00+00:00,1.4758010346045672e-13,1.641621051734893e-13,0.0,459880.9946792219,-65.9036598576278,51.03637088031184,9.721988314984223
2020-04-08 06:21:30+00:00,1.4809537252912238e-13,1.6399953440252404e-13,0.0,460431.5928806318,-67.80618519493947,51.482090006207166,9.760037858694428
2020-04-08 06:22:00+00:00,1.4861611764590405e-13,1.6385206771349754e-13,0.0,460943.0966830021,-69.70573210340571,52.028753914234365,9.80481705472476
2020-04-08 06:22:30+00:00,1.4906593317933058e-13,1.637192380408469e-13,0.0,461413.5676707197,-71.60162259205731,52.70746133775264,9.858399152023512
2020-04-08 06:23:00+00:00,1.4944239859460965e-13,1.6359903269130045e-13,0.0,461841.23169523943,-73.49284999261258,53.56338210588345,9.923795472616012
2020-04-08 06:23:30+00:00,1.4972867453353554e-13,1.6349061169070115e-13,0.0,462224.48040632904,-75.37786727437515,54.66463296113137,10.005547132795373
2020-04-08 06:24:00+00:00,1.4989570147203733e-13,1.6339550823820935e-13,0.0,462561.8652249528,-77.2541910677774,56.11872066081568,10.110821249915755
2020-04-08 06:24:30+00:00,1.4972512326597574e-13,1.6331494913026363e-13,0.0,462852.1047042217,-79.11760690345027,58.10512282593056,10.251582999043162
2020-04-08 06:25:00+00:00,1.4936384048605045e-13,1.632501078297954e-13,0.0,463094.0861087041,-80.96042461265773,60.94532763539327,10.449264926034932
2020-04-08 06:25:30+00:00,1.488654037357608e-13,1.6320186551992564e-13,0.0,463286.8780333372,-82.76719429294725,65.26885680778,10.745835146630887
2020-04-08 06:26:00+00:00,1.4818160695765635e-13,1.6317099164744867e-13,0.0,463429.7475739876,-84.50258975693144,72.4515738816359,11.233017899286269
2020-04-08 06:26:30+00:00,1.4735699100643893e-13,1.6315784097841312e-13,0.0,463522.1605184637,-86.07121984259243,85.84274018654162,12.134097278853334
