time,density,altitude,latitude,longitude,local_solar_time
2020-03-18 00:00:00+00:00,3.132367172027896e-13,436794.8597085215,-0.4834846881987259,169.1202973683684,11.139796342860343
2020-03-18 00:00:10+00:00,2.858846572484653e-13,436909.93183476664,-1.1299564089534428,169.10818065875813,11.141766899848989
2020-03-18 00:00:20+00:00,3.0220435811411725e-13,437029.5152846612,-1.77640328546391,169.09607597400694,11.143738258495446
2020-03-18 00:00:30+00:00,3.034351658549393e-13,437153.59209494945,-2.422823018234033,169.083990786037,11.14571091689951
2020-03-18 00:00:40+00:00,3.0157667451332595e-13,437282.13873679657,-3.0692133196277687,169.07193260545625,11.147685375825091
2020-03-18 00:00:50+00:00,2.899433394874778e-13,437415.1299187932,-3.7155719120901867,169.05990896374848,11.149662137342887
2020-03-18 00:01:00+00:00,2.973201222131951e-13,437552.54004477523,-4.3618965257103,169.0479274088277,11.151641704618498
2020-03-18 00:01:10+00:00,2.9217690286313817e-13,437694.3403164614,-5.008184889687471,169.03599555377707,11.15362458524784
2020-03-18 00:01:20+00:00,2.7244526731158306e-13,437840.4986631619,-5.6544347570478335,169.0241210611321,11.15561129003818
2020-03-18 00:01:30+00:00,2.8213501789739727e-13,437990.98117366433,-6.3006438771011855,169.01231163036815,11.157602332259529
2020-03-18 00:01:40+00:00,2.771188155448604e-13,438145.7514857026,-6.946810028649642,169.00057505856014,11.159598231773586
2020-03-18 00:01:50+00:00,2.6110715768915735e-13,438304.77203777805,-7.592930983453203,168.98891918504776,11.161599511174686
2020-03-18 00:02:00+00:00,2.579673503096149e-13,438467.9993259683,-8.23900453584659,168.97735195428976,11.163606700065074
2020-03-18 00:02:10+00:00,2.6177562451009725e-13,438635.39206553996,-8.885028492607058,168.96588138869234,11.165620333328519
2020-03-18 00:02:20+00:00,2.498414705890557e-13,438806.904614944,-9.531000678986773,168.95451563215263,11.167640953834734
2020-03-18 00:02:30+00:00,2.490837397842171e-13,438982.4871757142,-10.176918928838058,168.9432629101349,11.169669110005032
2020-03-18 00:02:40+00:00,2.601156404035143e-13,439162.092411506,-10.82278109437885,168.93213158653043,11.17170535940349
2020-03-18 00:02:50+00:00,2.6727829967667136e-13,439345.66516269185,-11.468585046659259,168.9211301412642,11.173750267330249
2020-03-18 00:03:00+00:00,2.678875490454708e-13,439533.15296863765,-12.114328661522956,168.9102672177792,11.175804410071521
2020-03-18 00:03:10+00:00,2.742677555298684e-13,439724.49957027566,-12.760009853625316,168.89955156220014,11.177868370673963
2020-03-18 00:03:20+00:00,2.639439343929185e-13,439919.64552632906,-13.405626531711357,168.88899210881647,11.179942744728457
2020-03-18 00:03:30+00:00,2.869893772553168e-13,440118.5324895866,-14.051176649678762,168.87859797192212,11.182028139911608
2020-03-18 00:03:40+00:00,2.713842070615844e-13,440321.0968750557,-14.696658174696744,168.8683783971423,11.184125172569779
2020-03-18 00:03:50+00:00,2.689632737817504e-13,440527.2748876726,-15.342069075942376,168.85834287239655,11.186234475202724
2020-03-18 00:04:00+00:00,2.572054435809979e-13,440737.00009976607,-15.987407372230717,168.84850105625284,11.188356691771688
2020-03-18 00:04:10+00:00,2.5005543688065305e-13,440950.2072594492,-16.632671095676184,168.8388628270691,11.190492480805418
2020-03-18 00:04:20+00:00,2.5177891697770444e-13,441166.8250537086,-17.277858290390355,168.8294383042918,11.192642516905586
2020-03-18 00:04:30+00:00,2.673150590644704e-13,441386.78352698125,-17.92296703741956,168.82023783034467,11.194807489623798
2020-03-18 00:04:40+00:00,2.735755278569738e-13,441610.00894726533,-18.567995440301463,168.8112720239307,11.196988106845069
2020-03-18 00:04:50+00:00,2.8413545261963277e-13,441836.4271961823,-19.21294164187439,168.80255174745238,11.199185092701327
2020-03-18 00:05:00+00:00,2.606930646238836e-13,442065.9638136262,-19.85780379588953,168.7940881896421,11.201399193164669
2020-03-18 00:05:10+00:00,2.582118232843413e-13,442298.5395206325,-20.502580079296706,168.78589279412313,11.20363117111522
2020-03-18 00:05:20+00:00,2.6030599998787445e-13,442534.0737436125,-21.147268708435277,168.7779773647944,11.205881813451128
2020-03-18 00:05:30+00:00,2.5112216134135794e-13,442772.4876748817,-21.791867927931087,168.77035400936435,11.208151927409673
2020-03-18 00:05:40+00:00,2.442056567829516e-13,443013.6970920414,-22.436376015038707,168.7630352209293,11.21044234583573
2020-03-18 00:05:50+00:00,2.3549055743412354e-13,443257.6173353689,-23.080791253710924,168.75603384568754,11.21275392511388
2020-03-18 00:06:00+00:00,2.35198730998096e-13,443504.1614909638,-23.725111976396917,168.74936315466454,11.215087550036188
2020-03-18 00:06:10+00:00,,443753.2436365802,-24.369336542447435,168.74303680948807,11.21744413132106
2020-03-18 00:06:20+00:00,2.330826523976183e-13,444004.77476287633,-25.013463333608968,168.73706893674424,11.21982461079763
2020-03-18 00:06:30+00:00,2.6410675965733276e-13,444258.6620115014,-25.657490757037834,168.73147412477766,11.222229960993985
2020-03-18 00:06:40+00:00,2.6981879725784686e-13,444514.816849445,-26.301417258653306,168.72626745399702,11.224661187242184
2020-03-18 00:06:50+00:00,2.6967364701666027e-13,444773.14316237345,-26.945241314307943,168.72146451597965,11.227119329037421
2020-03-18 00:07:00+00:00,2.538629107426927e-13,445033.5475559272,-27.588961415328594,168.71708148200054,11.229605464436602
2020-03-18 00:07:10+00:00,2.5469106644823924e-13,445295.9352856297,-28.232576093597288,168.71313506827184,11.232120707825452
2020-03-18 00:07:20+00:00,2.6086734951873943e-13,445560.2082330808,-28.876083911513028,168.70964261527158,11.234666215292556
