time,density,density_orbitmean,validity_flag,altitude,latitude,longitude,local_solar_time
2020-01-20 00:00:00+00:00,1.956526611474183e-13,1.1078101834965757e-13,0.0,436706.2059517456,29.499403198522185,-114.0667672515665,16.216633923591576
2020-01-20 00:00:30+00:00,1.9802273584225088e-13,1.109006677599157e-13,0.0,436457.38703959156,27.56381265125661,-114.07665497429406,16.224306311896047
2020-01-20 00:01:00+00:00,1.99564711441022e-13,1.1102784395213369e-13,0.0,436236.97790282685,25.62758302007662,-114.09051836954015,16.231713655372584
2020-01-20 00:01:30+00:00,2.0091491596922205e-13,1.111626292065344e-13,0.0,436046.9223214742,23.690761348087577,-114.10791535742061,16.238885426014395
2020-01-20 00:02:00+00:00,2.0213324763768102e-13,1.1130506571898032e-13,0.0,435889.0348647125,21.75339662732404,-114.12844696393208,16.245848222089226
2020-01-20 00:02:30+00:00,2.0313687477208558e-13,1.1145472883412953e-13,0.0,435764.9963880358,19.815539754452868,-114.15175085214355,16.252626199392928
2020-01-20 00:03:00+00:00,2.0380878359715952e-13,1.1161125346638604e-13,0.0,435676.34127367195,17.87724350906742,-114.17749585889,16.25924143547057
2020-01-20 00:03:30+00:00,2.0417166691538412e-13,1.117735471794302e-13,0.0,435624.45666406676,15.93856242415035,-114.20537729380833,16.265714243013594
2020-01-20 00:04:00+00:00,2.041748851057841e-13,1.1194063122614664e-13,0.0,435610.5668182578,13.999552678071147,-114.23511291050637,16.27206343844877
2020-01-20 00:04:30+00:00,2.0380027001918552e-13,1.1211137469588274e-13,0.0,435635.7352610463,12.060271932684941,-114.26643934517898,16.278306579363395
2020-01-20 00:05:00+00:00,2.0309661677291316e-13,1.1228438583607332e-13,0.0,435700.8487096969,10.120779147044356,-114.29910907641404,16.284460167185507
2020-01-20 00:05:30+00:00,2.0202770564684454e-13,1.1245827036300191e-13,0.0,435806.6172273047,8.18113445816549,-114.33288762724963,16.29053983371312
2020-01-20 00:06:00+00:00,2.0068638485654206e-13,1.126311901296051e-13,0.0,435953.56843882333,6.241398907711165,-114.36755107379105,16.296560507206078
2020-01-20 00:06:30+00:00,1.9888696600186025e-13,1.1280138088627772e-13,0.0,436142.0432026414,4.30163431708708,-114.40288380980881,16.302536561413635
2020-01-20 00:07:00+00:00,1.9687143481171104e-13,1.1296684674015211e-13,0.0,436372.1954228468,2.3619030105082945,-114.4386764112011,16.308481957942647
2020-01-20 00:07:30+00:00,1.947038216571046e-13,1.1312555976777872e-13,0.0,436643.9902288066,0.42226756749048,-114.47472367927686,16.314410376706665
2020-01-20 00:08:00+00:00,1.924513366976552e-13,1.1327564031366614e-13,0.0,436957.2043311335,-1.517209356500592,-114.51082274955417,16.320335342004544
2020-01-20 00:08:30+00:00,1.9014724648615004e-13,1.1341532511836737e-13,0.0,437311.4205147745,-3.4564653043273714,-114.54677123944188,16.326270346009622
2020-01-20 00:09:00+00:00,1.8782286857267575e-13,1.1354251358979715e-13,0.0,437706.03516808245,-5.395438251001258,-114.5823654245309,16.332228970349334
2020-01-20 00:09:30+00:00,1.8548052976124806e-13,1.1365575424344923e-13,0.0,438140.25520579517,-7.334066808455913,-114.6173983761652,16.338225010267916
2020-01-20 00:10:00+00:00,1.8316356251966241e-13,1.1375332192706449e-13,0.0,438613.1004863633,-9.272290488718982,-114.65165802226858,16.34427260387132
2020-01-20 00:10:30+00:00,1.8099017845197221e-13,1.1383375580553515e-13,0.0,439123.41348420363,-11.210049877885975,-114.68492515584354,16.3503863650255
2020-01-20 00:11:00+00:00,1.7889406488974815e-13,1.1389611314259203e-13,0.0,439669.8523004446,-13.14728686343424,-114.71697125282017,16.356581528636024
2020-01-20 00:11:30+00:00,1.768749882818447e-13,1.1393916625764955e-13,0.0,440250.9100115886,-15.083944807315357,-114.74755611521026,16.36287410790256
2020-01-20 00:12:00+00:00,1.7493982641826054e-13,1.1396243639989153e-13,0.0,440864.9163204422,-17.019968753008335,-114.77642532589356,16.369281063967033
2020-01-20 00:12:30+00:00,1.7308878626759704e-13,1.1396549697847959e-13,0.0,441510.0441536065,-18.955305584636754,-114.80330727086167,16.3758205044303
2020-01-20 00:13:00+00:00,1.7140865221487275e-13,1.1394777404135562e-13,0.0,442184.32189145125,-20.889904203706372,-114.8279099199297,16.382511897972012
2020-01-20 00:13:30+00:00,1.6978616465130215e-13,1.1390977558860846e-13,0.0,442885.6354507962,-22.82371562601111,-114.84991708700237,16.389376323665875
2020-01-20 00:14:00+00:00,1.6824689807000713e-13,1.1385131442149138e-13,0.0,443611.7412187625,-24.756693110603663,-114.86898407267194,16.396436761472845
2020-01-20 00:14:30+00:00,1.6674101304570692e-13,1.1377342490502426e-13,0.0,444360.2710464597,-26.68879220540713,-114.8847326930872,16.40371842365048
2020-01-20 00:15:00+00:00,1.6524549773008988e-13,1.1367665390770553e-13,0.0,445128.74573196843,-28.619970788444974,-114.89674536327396,16.41124914919794
2020-01-20 00:15:30+00:00,1.638059214068428e-13,1.1356233414072248e-13,0.0,445914.5788641339,-30.550189042607556,-114.90455818074072,16.419059864948647
2020-01-20 00:16:00+00:00,1.6240660247844785e-13,1.1343122075246652e-13,0.0,446715.0948804738,-32.47940941942241,-114.90765261331335,16.42718513971539
2020-01-20 00:16:30+00:00,1.6103349450031486e-13,1.1328457222716659e-13,0.0,447527.52873441856,-34.407596496038785,-114.90544557722082,16.435663845750554
2020-01-20 00:17:00+00:00,1.597583616398048e-13,1.1312363316435347e-13,0.0,448349.049513869,-36.33471677886201,-114.89727745902529,16.444539957284334
2020-01-20 00:17:30+00:00,1.585382445109412e-13,1.1294947581625584e-13,0.0,449176.76493768394,-38.26073848953165,-114.88239745174432,16.453863528117388
2020-01-20 00:18:00+00:00,1.5739001571324893e-13,1.1276328807211792e-13,0.0,450007.7374912258,-40.18563114569854,-114.8599457160155,16.46369188087527
2020-01-20 00:18:30+00:00,1.5626780839950465e-13,1.1256637093273148e-13,0.0,450838.9958563158,-42.10936514829055,-114.82893112401976,16.47409109074754
2020-01-20 00:19:00+00:00,1.5517142481493384e-13,1.1235975808535791e-13,0.0,451667.5462273108,-44.03191115925432,-114.78820374943331,16.48513781949168
2020-01-20 00:19:30+00:00,1.540939561598101e-13,1.1214446401158266e-13,0.0,452490.38707929384,-45.95323923125264,-114.7364200062379,16.49692163951109
